run_id,scenario_id,scenario_name,scenario_mode,htf_alignment_id,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,preset,tester_ini,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,daily_or_dd_stopped,gate_scope,passed_2025_shallow_gate
tokyo_first120__h4_bias_h1_rev__be_1_1r,tokyo_first120,tokyo_first120_reference,5,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.ini,30,13,0.43333333333333335,60.77999999999997,394.64000000000004,-333.86,1.1820523572755048,2.221400000000001,0.07404666666666669,1.1576870110879225,140.69,1.4069,0.43201364702537476,13,0.43333333333333335,7,0.23333333333333334,1,0.03333333333333333,9,0.3,7,0.23333333333333334,0.7996799999999998,0.7889133333333334,False,False,False
tokyo_first120__h4_bias_h1_rev__be_30m_0_5r,tokyo_first120,tokyo_first120_reference,5,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini,30,9,0.3,26.08,308.15000000000003,-282.07,1.092459318608856,0.7885000000000002,0.02628333333333334,1.0664083884280118,118.89,1.1889,0.21936243586508536,11,0.36666666666666664,15,0.5,8,0.26666666666666666,8,0.26666666666666666,3,0.1,0.7211799999999999,0.7453933333333335,False,False,False
tokyo_first120__h1_conf_h4_notopp__no_be,tokyo_first120,tokyo_first120_reference,5,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__no_be_2025.ini,40,17,0.425,46.120000000000005,512.6099999999999,-466.48999999999995,1.0988659992711525,1.946599999999999,0.04866499999999997,1.1004707145364083,123.36,1.2336,0.37386511024643326,16,0.4,0,0.0,0,0.0,12,0.3,12,0.3,0.533035,0.4843699999999999,False,False,False
tokyo_first120__h1_conf_h4_notopp__be_1_0r,tokyo_first120,tokyo_first120_reference,5,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_0r_2025.ini,40,15,0.375,-5.36000000000001,459.64,-465.00000000000006,0.9884731182795697,-0.2627000000000008,-0.00656750000000002,0.9864585534827859,123.36,1.2336,-0.04345006485084314,16,0.4,12,0.3,2,0.05,11,0.275,11,0.275,0.8706349999999998,0.7530399999999999,False,False,False
tokyo_first120__h1_conf_h4_notopp__be_1_1r,tokyo_first120,tokyo_first120_reference,5,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_1r_2025.ini,40,17,0.425,46.120000000000005,512.6099999999999,-466.48999999999995,1.0988659992711525,1.946599999999999,0.04866499999999997,1.1004707145364083,123.36,1.2336,0.37386511024643326,16,0.4,11,0.275,0,0.0,12,0.3,12,0.3,0.8832824999999997,0.7530399999999999,False,False,False
tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r,tokyo_first120,tokyo_first120_reference,5,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini,40,10,0.25,-61.08000000000003,331.33000000000004,-392.41,0.8443464743508066,-2.9429000000000025,-0.07357250000000007,0.8235597417157795,142.45000000000002,1.4245000000000003,-0.4287820287820289,14,0.35,19,0.475,11,0.275,8,0.2,7,0.175,0.7840774999999999,0.73187,False,False,False
tokyo_first120__soft__no_be,tokyo_first120,tokyo_first120_reference,5,soft,htf_soft_alignment,3,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.ini,95,40,0.42105263157894735,-273.56,910.58,-1184.1399999999996,0.7689800192544803,-11.401599999999998,-0.12001684210526314,0.7716679717148329,348.61,3.4861000000000004,-0.7847164453113794,46,0.4842105263157895,0,0.0,0,0.0,18,0.18947368421052632,31,0.3263157894736842,0.4056073684210526,0.525624210526316,False,False,False
tokyo_first120__soft__be_1_0r,tokyo_first120,tokyo_first120_reference,5,soft,htf_soft_alignment,3,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_0r_2025.ini,95,39,0.4105263157894737,-218.58000000000004,895.7500000000001,-1114.3299999999997,0.8038462573923347,-9.102999999999998,-0.09582105263157893,0.8061438534845334,301.65,3.0164999999999997,-0.7246146195922428,43,0.45263157894736844,24,0.25263157894736843,4,0.042105263157894736,18,0.18947368421052632,30,0.3157894736842105,0.7746347368421053,0.8250768421052633,False,False,False
tokyo_first120__soft__be_1_1r,tokyo_first120,tokyo_first120_reference,5,soft,htf_soft_alignment,3,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.ini,95,40,0.42105263157894735,-250.90999999999997,910.58,-1161.4899999999996,0.7839757552798564,-10.388799999999996,-0.10935578947368417,0.7876434696401373,325.96,3.2596,-0.7697570254018897,45,0.47368421052631576,17,0.17894736842105263,1,0.010526315789473684,18,0.18947368421052632,31,0.3263157894736842,0.7825810526315792,0.8340336842105266,False,False,False
tokyo_first120__soft__be_30m_0_5r,tokyo_first120,tokyo_first120_reference,5,soft,htf_soft_alignment,3,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_30m_0_5r_2025.ini,95,29,0.30526315789473685,-343.33,665.9599999999999,-1009.2899999999996,0.659830177649635,-14.12329999999999,-0.14866631578947356,0.6686833474868509,424.27,4.2427,-0.8092252575011196,40,0.42105263157894735,43,0.45263157894736844,22,0.23157894736842105,14,0.14736842105263157,19,0.2,0.7142231578947369,0.8123305263157895,False,False,False
